"","fsl","wash","capacity_gaps","protection","shelter","health","impact","education","calculated_msni"
"464",4,4,1,4,2,1,1,1,4
"465",1,1,2,4,2,1,1,1,4
"466",2,1,2,4,2,1,1,1,4
"467",3,1,2,4,2,1,1,1,4
"468",4,1,2,4,2,1,1,1,4
"469",1,2,2,4,2,1,1,1,4
"470",2,2,2,4,2,1,1,1,4
"471",3,2,2,4,2,1,1,1,4
"472",4,2,2,4,2,1,1,1,4
"473",1,3,2,4,2,1,1,1,4
"474",2,3,2,4,2,1,1,1,4
"475",3,3,2,4,2,1,1,1,4
"476",4,3,2,4,2,1,1,1,4
"477",1,4,2,4,2,1,1,1,4
"478",2,4,2,4,2,1,1,1,4
"479",3,4,2,4,2,1,1,1,4
"480",4,4,2,4,2,1,1,1,4
"481",1,1,3,4,2,1,1,1,4
"482",2,1,3,4,2,1,1,1,4
"483",3,1,3,4,2,1,1,1,4
"484",4,1,3,4,2,1,1,1,4
"485",1,2,3,4,2,1,1,1,4
"486",2,2,3,4,2,1,1,1,4
"487",3,2,3,4,2,1,1,1,4
"488",4,2,3,4,2,1,1,1,4
"489",1,3,3,4,2,1,1,1,4
"490",2,3,3,4,2,1,1,1,4
"491",3,3,3,4,2,1,1,1,4
"492",4,3,3,4,2,1,1,1,4
"493",1,4,3,4,2,1,1,1,4
"494",2,4,3,4,2,1,1,1,4
"495",3,4,3,4,2,1,1,1,4
"496",4,4,3,4,2,1,1,1,4
"497",1,1,4,4,2,1,1,1,4
"498",2,1,4,4,2,1,1,1,4
"499",3,1,4,4,2,1,1,1,4
"500",4,1,4,4,2,1,1,1,4
"501",1,2,4,4,2,1,1,1,4
"502",2,2,4,4,2,1,1,1,4
"503",3,2,4,4,2,1,1,1,4
"504",4,2,4,4,2,1,1,1,4
"505",1,3,4,4,2,1,1,1,4
"506",2,3,4,4,2,1,1,1,4
"507",3,3,4,4,2,1,1,1,4
"508",4,3,4,4,2,1,1,1,4
